Mfr Name,Division,Carline,Average City CO2,Average City Fuel Efficiency
General Motors,Cadillac,CTS-V,622,14
General Motors,Cadillac,ESCALADE 2WD,594,15
General Motors,Cadillac,ESCALADE 4WD,608,15
General Motors,Cadillac,XT5,454,19
General Motors,Cadillac,XT5 AWD,486,18
General Motors,Cadillac,XTS,488,18
General Motors,Cadillac,XTS AWD,543,17
General Motors,Cadillac,XTS HEARSE,604,15
General Motors,Cadillac,XTS LIMO,604,15
General Motors,Chevrolet,C1500 SUBURBAN 2WD,557,16
General Motors,Chevrolet,C1500 TAHOE 2WD,557,16
General Motors,Chevrolet,C15 SILVERADO 2WD,546,17
General Motors,Chevrolet,C15 SILVERADO 2WD CAB CHASSIS,592,15
General Motors,Chevrolet,CAMARO,538,17
General Motors,Chevrolet,COLORADO 2WD,472,20
General Motors,Chevrolet,COLORADO 4WD,510,19
General Motors,Chevrolet,COLORADO CAB CHASSIS 2WD,580,15
General Motors,Chevrolet,COLORADO ZR2 4WD,554,18
General Motors,Chevrolet,CORVETTE,597,15
General Motors,Chevrolet,CRUZE,319,30
General Motors,Chevrolet,CRUZE HATCHBACK,309,29
General Motors,Chevrolet,CRUZE PREMIER,306,29
General Motors,Chevrolet,CRUZE PREMIER HATCHBACK,317,28
General Motors,Chevrolet,EQUINOX AWD,479,19
General Motors,Chevrolet,EQUINOX FWD,460,20
General Motors,Chevrolet,G2500 EXPRESS 2WD PASS MDPV,823,11
General Motors,Chevrolet,G3500 EXPRESS 2WD PASS MDPV,841,11
General Motors,Chevrolet,IMPALA,455,20
General Motors,Chevrolet,K1500 SUBURBAN 4WD,578,15
General Motors,Chevrolet,K1500 TAHOE 4WD,571,16
General Motors,Chevrolet,K15 SILVERADO 4WD,571,16
General Motors,Chevrolet,K15 SILVERADO 4WD CAB CHASSIS,593,15
General Motors,Chevrolet,MALIBU,306,33
General Motors,Chevrolet,SONIC,341,26
General Motors,Chevrolet,SONIC 5,341,26
General Motors,Chevrolet,SPARK,299,30
General Motors,Chevrolet,SPARK ACTIV,299,30
General Motors,Chevrolet,SS,635,14
General Motors,Chevrolet,TRAVERSE AWD,606,15
General Motors,Chevrolet,TRAVERSE FWD,594,15
General Motors,Chevrolet,TRAX,347,25
General Motors,Chevrolet,TRAX AWD,369,24
General Motors,GMC,ACADIA AWD,461,20
General Motors,GMC,ACADIA FWD,457,20
General Motors,GMC,ACADIA LIMITED AWD,606,15
General Motors,GMC,ACADIA LIMITED FWD,594,15
General Motors,GMC,C1500 YUKON 2WD,569,16
General Motors,GMC,C1500 YUKON XL 2WD,569,16
General Motors,GMC,C15 SIERRA 2WD,546,17
General Motors,GMC,C15 SIERRA 2WD CAB CHASSIS,592,15
General Motors,GMC,CANYON 2WD,472,20
General Motors,GMC,CANYON 4WD,510,19
General Motors,GMC,CANYON CAB CHASSIS 2WD,580,15
General Motors,GMC,G2500 SAVANA 2WD PASS MDPV,823,11
General Motors,GMC,G3500 SAVANA 2WD PASS MDPV,842,11
General Motors,GMC,K1500 YUKON 4WD,582,16
General Motors,GMC,K1500 YUKON XL 4WD,590,15
General Motors,GMC,K15 SIERRA 4WD,571,16
General Motors,GMC,K15 SIERRA 4WD CAB CHASSIS,593,15
General Motors,GMC,TERRAIN AWD,502,18
General Motors,GMC,TERRAIN FWD,460,20
Honda,Acura,ILX,353,25
Honda,Acura,MDX AWD,428,21
Honda,Acura,MDX FWD,454,20
Honda,Acura,NSX,419,21
Honda,Acura,RDX AWD,466,19
Honda,Acura,RDX FWD,447,20
Honda,Acura,RLX,378,25
Honda,Acura,TLX AWD,416,21
Honda,Acura,TLX FWD,400,23
Honda,Honda,ACCORD,367,26
Honda,Honda,CIVIC 2Dr,297,30
Honda,Honda,CIVIC 4Dr,291,31
