Cambodia,KHM,1485.135,1976.513,3465.315,3898.021,4653.423,5012.789,5207.14,5456.496,5573.84,2
Kiribati,KIR,22.002,33.003,51.338,55.005,40.337,62.339,62.339,62.339,62.339,3
St. Kitts and Nevis,KNA,124.678,183.35,249.356,249.356,260.357,260.357,267.691,278.692,278.692,7
"Korea, Rep.",KOR,246943.114,447561.017,495675.724,507589.807,508862.256,566716.515,589400.577,584079.76,592499.192,2
Kosovo,KSV,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Kuwait,KWT,48312.725,53560.202,75235.839,82731.187,87303.936,89625.147,91029.608,101146.861,97960.238,4
Lao PDR,LAO,212.686,938.752,909.416,946.086,1257.781,1639.149,1624.481,2159.863,2174.531,2
Lebanon,LBN,8214.08,15247.386,13483.559,17231.233,20879.898,20054.823,20450.859,22640.058,22581.386,4
Liberia,LBR,476.71,425.372,671.061,564.718,517.047,795.739,894.748,1030.427,957.087,5
Libya,LBY,36780.01,47113.616,49959.208,55459.708,58660.999,61348.91,39390.914,52397.763,51040.973,5
St. Lucia,LCA,165.015,330.03,385.035,396.036,385.035,403.37,407.037,407.037,407.037,7
Liechtenstein,LIE,-1,-1,62.339,62.339,51.338,55.005,47.671,47.671,51.338,0
Sri Lanka,LKA,3868.685,10238.264,12354.123,12207.443,13175.531,13688.911,15232.718,16226.475,16024.79,2
Lesotho,LSO,-1,-1,1474.134,2082.856,2112.192,2258.872,2200.2,2222.202,2295.542,5
Lithuania,LTU,-1,12163.439,15166.712,15009.031,12519.138,13468.891,13787.92,13831.924,12640.149,0
Luxembourg,LUX,10003.576,8239.749,11019.335,10938.661,10392.278,10967.997,10938.661,10663.636,10161.257,0
Latvia,LVA,-1,6351.244,8316.756,7902.385,7231.324,8074.734,7300.997,7062.642,7080.977,0
"Macao SAR, China",MAC,1034.094,1635.482,1543.807,2291.875,2647.574,1983.847,2357.881,2273.54,2167.197,2
St. Martin (French part),MAF,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
Morocco,MAR,23542.14,33905.082,50267.236,52900.142,52482.104,55958.42,57685.577,62724.035,58558.323,5
Monaco,MCO,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Moldova,MDA,-1,3512.986,4679.092,4778.101,4550.747,4932.115,5038.458,4924.781,4976.119,0
Madagascar,MDG,949.753,1873.837,1815.165,1888.505,1771.161,1958.178,2313.877,2665.909,3076.613,5
Maldives,MDV,143.013,451.041,781.071,843.41,883.747,898.415,953.42,1078.098,1048.762,5
Mexico,MEX,314291.236,382508.437,458866.378,474491.465,450582.625,445162.799,466779.764,480883.046,488602.081,8
Marshall Islands,MHL,47.671,77.007,99.009,99.009,102.676,102.676,102.676,102.676,102.676,3
"Macedonia, FYR",MKD,-1,12064.43,9493.863,9402.188,8698.124,8602.782,9387.52,8962.148,8294.754,0
Mali,MLI,421.705,821.408,1008.425,1070.764,806.74,964.421,1045.095,993.757,1026.76,5
Malta,MLT,2178.198,2064.521,2724.581,2559.566,2398.218,2526.563,2519.229,2665.909,2218.535,0
Myanmar,MMR,4275.722,10087.917,12874.837,9801.891,10230.93,12515.471,14297.633,12933.509,12603.479,2
Montenegro,MNE,-1,-1,2251.538,2750.25,1826.166,2581.568,2570.567,2335.879,2247.871,0
Mongolia,MNG,9988.908,7506.349,12064.43,12038.761,13102.191,24660.575,27583.174,32727.975,41591.114,2
Northern Mariana Islands,MNP,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
Mozambique,MOZ,1023.093,1349.456,2262.539,2266.206,2530.23,2735.582,3223.293,3120.617,4019.032,5
Mauritania,MRT,905.749,1173.44,1844.501,1936.176,2123.193,2236.87,2394.551,2654.908,2647.574,5
Mauritius,MUS,1463.133,2691.578,3689.002,3769.676,3696.336,3916.356,3920.023,4070.37,3725.672,5
Malawi,MWI,612.389,894.748,938.752,1096.433,1004.758,1191.775,1188.108,1129.436,1272.449,5
Malaysia,MYS,56592.811,125734.096,184816.8,204031.88,198802.738,218476.193,220405.035,218707.214,236510.499,2
Namibia,NAM,40.337,1642.816,2361.548,3329.636,3069.279,3098.615,2823.59,3373.64,2948.268,5
New Caledonia,NCL,1584.144,2233.203,2944.601,2867.594,2973.937,3542.322,3648.665,3630.33,3861.351,3
Niger,NER,733.4,696.73,722.399,810.407,968.088,1173.44,1327.454,1866.503,1961.845,5
Nigeria,NGA,38162.469,79170.53,95055.974,96148.74,76735.642,92016.031,96093.735,99636.057,95650.028,5
Nicaragua,NIC,2548.565,3762.342,4605.752,4422.402,4495.742,4536.079,4880.777,4675.425,4569.082,8
Netherlands,NLD,158403.399,165356.031,171490.922,173361.092,169188.046,181648.512,172400.338,169378.73,169972.784,0
Norway,NOR,31510.531,39673.273,45089.432,55690.729,55346.031,60113.131,45195.775,49889.535,59636.421,0
Nepal,NPL,634.391,3069.279,2614.571,3421.311,4334.394,5056.793,5533.503,5845.198,6501.591,2
Nauru,NRU,124.678,84.341,44.004,44.004,40.337,44.004,40.337,40.337,44.004,3
New Zealand,NZL,23545.807,32980.998,33637.391,34202.109,32386.944,31778.222,31503.197,34506.47,33960.087,3
Oman,OMN,11386.035,21895.657,43695.972,42705.882,44092.008,50373.579,56215.11,59203.715,61183.895,4
Pakistan,PAK,68565.566,106449.343,158894.777,159070.793,158836.105,161395.671,162008.06,163060.489,153368.608,2
Panama,PAN,2768.585,5790.193,7198.321,7374.337,8599.115,9163.833,10098.918,10084.25,10362.942,8
Peru,PER,21169.591,30296.754,42955.238,41015.395,51704.7,57593.902,49632.845,54520.956,57153.862,9
Philippines,PHL,41763.463,73306.997,72170.227,78858.835,77568.051,84920.386,85584.113,91319.301,98238.93,2
Palau,PLW,234.688,113.677,209.019,209.019,209.019,216.353,223.687,223.687,223.687,3
Papua New Guinea,PNG,2141.528,2665.909,6120.223,4796.436,5093.463,4664.424,5229.142,4979.786,6072.552,2
Poland,POL,368423.49,299289.539,314272.901,314848.62,297617.387,316264.082,316997.482,299960.6,302333.149,0
Puerto Rico,PRI,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
"Korea, Dem. People´è_´è__s Rep.",PRK,-1,69661.999,64227.505,71132.466,70677.758,66600.054,48133.042,49112.131,50091.22,2
Portugal,PRT,42320.847,62731.369,60149.801,55624.723,54176.258,48136.709,47623.329,46061.187,46262.872,0
Paraguay,PRY,2163.53,3689.002,4136.376,4451.738,4517.744,5097.13,5320.817,5207.14,4972.452,9
French Polynesia,PYF,498.712,568.385,817.741,843.41,847.077,858.078,832.409,814.074,821.408,3
Qatar,QAT,11774.737,34730.157,63277.752,64843.561,69221.959,72617.601,80435.645,94124.556,85023.062,4
Romania,ROM,158861.774,90681.243,101627.238,95664.696,81363.396,79287.874,84872.715,81722.762,70736.43,0
Russian Federation,RUS,-1,1557899.281,1666886.188,1714978.893,1574045.082,1675026.928,1768073.386,1835608.525,1789074.295,1
Rwanda,RWA,542.716,528.048,557.384,542.716,575.719,590.387,663.727,737.067,799.406,5
Saudi Arabia,SAU,217948.145,296935.325,387777.916,430175.77,468767.278,520552.652,500728.85,565997.783,541428.883,4
Sudan,SDN,5221.808,5533.503,14125.284,14913.689,15562.748,15940.449,15658.09,14660.666,15445.404,5
Senegal,SEN,3182.956,3938.358,5181.471,5093.463,4583.75,7744.704,8368.094,7913.386,8423.099,5
Singapore,SGP,46941.267,49005.788,19926.478,36134.618,37018.365,43945.328,38327.484,54627.299,50556.929,2
Solomon Islands,SLB,146.68,146.68,176.016,183.35,190.684,194.351,198.018,198.018,198.018,3
Sierra Leone,SLE,487.711,425.372,641.725,663.727,652.726,726.066,898.415,1030.427,1191.775,5
El Salvador,SLV,2511.895,5742.522,6978.301,6545.595,6442.919,6351.244,6648.271,7198.321,6358.578,8
San Marino,SMR,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Somalia,SOM,18.335,517.047,608.722,601.388,597.721,612.389,575.719,638.058,623.39,5
Serbia,SRB,-1,-1,52456.435,52100.736,46182.198,45925.508,49192.805,44062.672,44869.412,0
South Sudan,SSD,-1,-1,-1,-1,-1,-1,-1,1331.121,1448.465,5
Sao Tome and Principe,STP,47.671,47.671,84.341,84.341,91.675,99.009,102.676,113.677,113.677,5
Suriname,SUR,1811.498,2299.209,1888.505,1983.847,2060.854,2625.572,2170.864,2508.228,2101.191,9
Slovak Republic,SVK,-1,35885.262,36780.01,37711.428,34037.094,36240.961,34524.805,32764.645,33677.728,0
Slovenia,SVN,-1,14396.642,16244.81,17355.911,15273.055,15423.402,15192.381,14928.357,14440.646,0
Sweden,SWE,51946.722,49350.486,48059.702,49123.132,43065.248,52023.729,51734.036,47047.61,44326.696,0
Swaziland,SWZ,425.372,1188.108,1063.43,1096.433,1045.095,1037.761,1048.762,1206.443,1089.099,5
Sint Maarten (Dutch part),SXM,-1,-1,-1,-1,-1,-1,-1,744.401,762.736,7
Seychelles,SYC,150.347,572.052,641.725,693.063,740.734,689.396,597.721,704.064,645.392,5
Syrian Arab Republic,SYR,37359.396,51040.973,66468.042,67681.819,61737.612,61605.6,56908.173,43820.65,36064.945,4
Turks and Caicos Islands,TCA,-1,14.668,165.015,179.683,179.683,190.684,190.684,198.018,198.018,7
Chad,TCD,146.68,176.016,462.042,509.713,491.378,517.047,539.049,542.716,608.722,5
Togo,TGO,773.737,1360.457,1408.128,1683.153,2783.253,2610.904,2409.219,2163.53,2229.536,5
Thailand,THA,90805.921,181270.811,255303.874,255358.879,270419.248,288589.233,290342.059,305222.745,303117.887,2
Tajikistan,TJK,-1,2236.87,3234.294,2904.264,2453.223,2544.898,2350.547,3054.611,3586.326,1
Turkmenistan,TKM,-1,37539.079,56042.761,56831.166,50340.576,57289.541,62592.023,64993.908,66893.414,1
Timor-Leste,TMP,-1,-1,183.35,201.685,227.354,234.688,245.689,293.36,440.04,2
Tonga,TON,77.007,95.342,113.677,121.011,132.012,117.344,102.676,179.683,209.019,3
Trinidad and Tobago,TTO,16959.875,23894.172,48202.715,46636.906,44873.079,47909.355,46900.93,45371.791,46541.564,7
Tunisia,TUN,13267.206,19922.811,24110.525,24825.59,24788.92,27660.181,26021.032,27003.788,27667.515,5
Turkey,TUR,145858.592,216151.315,284658.209,283979.814,277844.923,298002.422,320840.498,329560.624,323451.402,0
Tuvalu,TUV,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
Tanzania,TZA,2266.206,2651.241,5896.536,6142.225,5918.538,7106.646,8093.069,9545.201,10751.644,5
Uganda,UGA,759.069,1430.13,2889.596,3190.29,3380.974,3920.023,4264.721,4085.038,4895.445,5
Ukraine,UKR,-1,320902.837,321258.536,311023.939,260136.98,304643.359,286444.038,295772.886,271101.31,1
Uruguay,URY,3993.363,5306.149,6002.879,8283.753,8074.734,6380.58,7763.039,8694.457,7605.358,9
United States,USA,4823557.132,5701829.301,5794923.43,5622464.42,5274128.756,5408869.004,5305279.921,5115806.031,5186168.427,6
Uzbekistan,UZB,-1,121058.671,115532.502,119107.827,107131.405,104168.469,113684.334,115814.861,103226.05,1
St. Vincent and the Grenadines,VCT,80.674,146.68,227.354,227.354,311.695,220.02,198.018,253.023,209.019,7
"Venezuela, RB",VEN,122162.438,152422.522,160786.949,179114.615,179789.343,189070.52,178806.587,198641.39,185531.865,9
British Virgin Islands,VGB,66.006,102.676,150.347,161.348,165.015,172.349,176.016,176.016,176.016,7
